S_INFO_COMPCODE,ANN_DT,S_INFO_COMPNAME,B_INFO_CREDITRATINGAGENCY,B_INFO_CREDITRATING,B_INFO_PRECREDITRATING
1.58E+03,20110705,宜昌市城市建设投资开发有限公司,6,AA,
1.58E+03,20120428,宜昌市城市建设投资开发有限公司,6,AA,AA
1.58E+03,20120611,宜昌市城市建设投资开发有限公司,6,AA,AA
1.58E+03,20130622,宜昌市城市建设投资开发有限公司,6,AA,AA
1.58E+03,20140620,宜昌市城市建设投资开发有限公司,6,AA,AA
1.58E+03,20150623,宜昌市城市建设投资开发有限公司,6,AA,AA
1.58E+03,20160726,宜昌市城市建设投资开发有限公司,6,AA+,AA
1.58E+03,20170602,宜昌市城市建设投资开发有限公司,6,AA+,AA+
1.58E+03,20170705,宜昌市城市建设投资开发有限公司,6,AA+,AA+
1.58E+03,20180626,宜昌市城市建设投资开发有限公司,6,AA+,AA+
1.60E+04,20140618,柳州市产业投资有限公司,19,AA,
1.60E+04,20150828,柳州市产业投资有限公司,19,AA,AA
1.60E+04,20160927,柳州市产业投资有限公司,19,AA-,AA
1.60E+04,20170627,广西柳州市产业投资发展集团有限公司,19,A+,AA-
1.60E+04,20180628,广西柳州市产业投资发展集团有限公司,19,A+,A+
1.61E+04,20130409,重庆航运建设发展有限公司,6,AA,
1.61E+04,20140717,重庆航运建设发展有限公司,6,AA,AA
1.61E+04,20150325,重庆航运建设发展有限公司,6,AA,AA
1.61E+04,20150723,重庆航运建设发展有限公司,6,AA,AA
1.61E+04,20160708,重庆航运建设发展有限公司,6,AA,AA
1.61E+04,20170725,重庆航运建设发展有限公司,6,AA,AA
110076,20070413,中国广核集团有限公司,2,AAA,
110076,20081202,中国广核集团有限公司,2,AAA,AAA
110076,20090512,中国广核集团有限公司,2,AAA,AAA
110076,20090525,中国广核集团有限公司,2,AAA,AAA
110076,20090630,中国广核集团有限公司,2,AAA,AAA
110076,20091228,中国广核集团有限公司,2,AAA,AAA
110076,20091230,中国广核集团有限公司,2,AAA,AAA
110076,20100202,中国广核集团有限公司,2,AAA,AAA
110076,20100423,中国广核集团有限公司,2,AAA,AAA
110076,20100507,中国广核集团有限公司,2,AAA,AAA
110076,20101011,中国广核集团有限公司,2,AAA,AAA
110076,20110117,中国广核集团有限公司,2,AAA,AAA
110076,20110406,中国广核集团有限公司,2,AAA,AAA
110076,20110511,中国广核集团有限公司,5,AAA,
110076,20110630,中国广核集团有限公司,2,AAA,AAA
110076,20111209,中国广核集团有限公司,5,AAA,AAA
110076,20120629,中国广核集团有限公司,2,AAA,AAA
110076,20121018,中国广核集团有限公司,16,A3,
110076,20121231,中国广核集团有限公司,5,AAA,AAA
110076,20130628,中国广核集团有限公司,2,AAA,AAA
110076,20130723,中国广核集团有限公司,5,AAA,AAA
110076,20130919,中国广核集团有限公司,16,A3,A3
110076,20130930,中国广核集团有限公司,16,A3,A3
110076,20140219,中国广核集团有限公司,2,AAA,AAA
110076,20140620,中国广核集团有限公司,5,AAA,AAA
110076,20140625,中国广核集团有限公司,2,AAA,AAA
110076,20141124,中国广核集团有限公司,2,AAA,AAA
110076,20150506,中国广核集团有限公司,16,A3,A3
110076,20150611,中国广核集团有限公司,2,AAA,AAA
110076,20150623,中国广核集团有限公司,2,AAA,AAA
110076,20150723,中国广核集团有限公司,5,AAA,AAA
110076,20150731,中国广核集团有限公司,16,A3,A3
110076,20151014,中国广核集团有限公司,16,A3,A3
110076,20151026,中国广核集团有限公司,16,A3,A3
110076,20160422,中国广核集团有限公司,2,AAA,AAA
110076,20160617,中国广核集团有限公司,2,AAA,AAA
110076,20160721,中国广核集团有限公司,5,AAA,AAA
110076,20161013,中国广核集团有限公司,13,AAA,
110076,20170615,中国广核集团有限公司,2,AAA,AAA
110076,20170628,中国广核集团有限公司,13,AAA,AAA
110076,20171123,中国广核集团有限公司,16,A3,A3
110076,20180615,中国广核集团有限公司,2,AAA,AAA
110076,20180626,中国广核集团有限公司,13,AAA,AAA
110076,20180816,中国广核集团有限公司,16,A3,A3
110085,20111228,中国金茂(集团)有限公司,2,AA+,
110085,20121008,中国金茂(集团)有限公司,2,AA+,AA+
110085,20130322,中国金茂(集团)有限公司,2,AA+,AA+
110085,20131029,中国金茂(集团)有限公司,2,AA+,AA+
110085,20140704,中国金茂(集团)有限公司,2,AA+,AA+
110085,20150727,中国金茂(集团)有限公司,2,AA+,AA+
110085,20160328,中国金茂(集团)有限公司,2,AA+,AA+
110085,20160728,中国金茂(集团)有限公司,2,AA+,AA+
