COMPANY,LESS_FIN_EXP,LESS_GERL_ADMIN_EXP,LESS_NON_OPER_EXP,LESS_OPER_COST,LESS_SELLING_DIST_EXP,OPER_PROFIT,PLUS_NON_OPER_REV,TOT_OPER_REV,TOT_PROFIT,ACCT_PAYABLE,ACCT_RCV,ADV_FROM_CUST,BONDS_PAYABLE,CONST_IN_PROG,DVD_RCV,FIN_ASSETS_AVAIL_FOR_SALE,FIX_ASSETS,INT_RCV,INVEST_REAL_ESTATE,LT_BORROW,LT_PAYABLE,MONETARY_CAP,NON_CUR_LIAB_DUE_WITHIN_1Y,NOTES_PAYABLE,NOTES_RCV,OIL_AND_NATURAL_GAS_ASSETS,OTH_PAYABLE,OTH_RCV,PRODUCTIVE_BIO_ASSETS,PROJ_MATL,ST_BORROW,TOT_ASSETS,TOT_CUR_ASSETS,TOT_CUR_LIAB,TOT_LIAB,TRADABLE_FIN_ASSETS,AMORT_INTANG_ASSETS,DEPR_FA_COGA_DPBA,NET_CASH_FLOWS_FNC_ACT,NET_CASH_FLOWS_INV_ACT,NET_CASH_FLOWS_OPER_ACT,free_cash_flow
3v3885096A,24604373.9,47830566.69,1160745.09,2933685299,63425864.52,113554585.5,42694.93,3195448064,112436535.3,815401106.2,1338770398,397076.54,,13319755.92,,,51320013.62,,,,,307265735.9,,245705181.2,80616447.03,,3379192.3,4034897.3,,,317500000,2217545199,2098286572,1400437000,1400437000,,1723608.89,4488177.61,541873525.8,-45381380.37,-475031877.6,-518485567.5
2AF3E846BD,136068789.8,129786097.8,6935349.85,5050314524,126723360.9,115546692,19863003.23,5625801224,128474345.4,315646580.1,500677793,279924955.8,,266492537.3,,,614244219.6,,1275151200,350000000,,725505027,,1598279084,12950892,,1459221485,253506187.3,,,1074747161,6969155863,4362396698,4793210886,5421388233,,3303442.9,22454346.54,779913368.2,-460239572.8,-289832494.8,551173229.8
3bIlRLVgWa,124819798.8,297183905.8,282129.91,2932597613,93129508.79,585023764.8,31366780.16,4077000282,616108415,1013818267,1072916352,3220861.09,,496226244,,,1897575783,,,105000000,,1163797519,255314710.1,76945828.11,11533341.62,,13180087.26,125966668.6,,,2602658885,6280170884,3325999229,3993980599,4098980599,,23585342.61,107206230.1,1719425185,-1449290356,115698401.1,421272916.3
2oH4EBB82B,33852890.21,50378384.65,1561751.34,709854842.6,273198048.5,-195009542.9,10873721.57,910430704.8,-185697572.6,190557695,114955625.8,31248186.83,199275122.7,71711235.24,,,830717781.5,,25572852.7,81736390,,174619724.6,75037290,22102248.3,7199859.26,,87949081.87,26226854.97,,,518471850,1906766269,789414431.7,930233720.4,1211245233,,3380017.58,74363881.73,93226113.19,-120391371.2,68554440.35,-64831593.79
neOYOYVt6D,37509465.82,66004690.82,3280311.17,258109335.9,11642113.97,268572636.8,32369013.91,535418076.3,297661339.6,55362534.92,9862194.51,17958884.7,,7938336.4,,,924334119.7,,,1189900000,16000000,134917288.9,156100000,,,,177991873.8,54636873.9,,,192250000,2849623190,1514165371,749033829.8,1954962657,,1587841.79,74132046.42,-158473954.6,76048011.3,37090662.21,-22495227.57
2oQ60C1A82,1425770.42,138471837.8,400456.66,909204024.5,71675904.64,69654362.33,18943022.41,1205957095,88196928.08,262728574.2,424493415.9,22566547.31,,272537.8,,,105246229,1692465.29,,3630000,,668122667.5,1320000,98287634.52,37654830.79,,16443509.47,15995385.1,,,74072832,1488534123,1349610941,535627611.9,539257611.9,,1728011.07,14046726.96,445128376.7,-43563263.99,108674773.7,-578702511.6
1000555,3036385.27,4642408.9,,97073662,,614394.16,3996,99867062.2,618390.16,10039017.56,,1069235.4,,,,,72637.47,,,,45000000,22266122.85,,,,,88014394.66,9700,,,,22735124.32,22275822.85,106972029.6,151972029.6,,13336,15935.44,-40000000,-130117.59,7856212.38,43028825.27
kVhWBXmM4f,-1542985.46,64774273.26,7182.61,,4289159.72,160195973.6,1937671.34,339027447.1,162126462.3,51032.5,,27703232.81,,1843976.47,,,31627814.95,,,,,430474224.1,,,,,44143681.41,98503634.05,,,,2813785850,2223178828,481765596.9,481765596.9,31872812.58,16333.33,4628992.6,538873737.5,-353506984.2,242107470.8,-1671848088
661295731,8938155.93,99374418.52,608521.63,608221448.6,,1200776.53,155876410,741032331.2,156468664.9,70717634.73,31993596.81,1078300.05,,5099038.04,,,2057245009,,,132500000,23494591.91,61958026.3,107500000,40000000,1320000,,117781107.8,752257711.7,,13690242.19,295000000,10834955070,1458754922,662002089,817996680.9,,34756479.59,48332185.62,-3777270.28,-596394909.3,548581543.8,-1146404498
1000878,767208779.7,1054996286,27763283.55,31208290615,317298762.1,991307208.3,162076091.2,35243298622,1125620016,1889530069,575762132.1,1141515502,,1434561811,1083224.19,,7471990810,,2264693.03,2220250000,139348732.9,3111989887,1910000000,288700000,451597648.7,,507668038,232330115.8,,20281810.9,13086802102,30561941395,18566161278,19877816411,22419052757,117044.15,111753936.4,624845834.6,-288479002,-2161549575,2075928844,1996598197
